model,avg_num_items_visited,num_users,num_items,mm_time,simdex_time
lemp-paper-Netflix-50,8379,480189,17770,40.859800,27.167800
nomad-KDD-100-reg-1,408039,100990,626961,4646.530000,9999999.000000
nomad-Netflix-10-reg-0.05,5623,480189,17770,25.018900,9.190010
lemp-paper-Netflix-noav-10,5358,480189,17770,28.243400,8.823940
nomad-Netflix-50-reg-0.05,13832,480189,17770,40.871300,44.564300
nomad-R2-100-reg-0.001,4096,1823179,136736,1623.970000,59.487400
nomad-Netflix-100-reg-0.05,13627,480189,17770,56.668800,76.857200
nomad-KDD-50-reg-1,388984,100990,626961,3416.580000,24487.100000
nomad-Netflix-25-reg-0.05,11144,480189,17770,27.011600,24.679800
lemp-paper-Netflix-noav-50,11502,480189,17770,40.850200,45.334300
nomad-R2-50-reg-0.001,9829,1823179,136736,1150.890000,234.958000
nomad-R2-25-reg-0.001,13973,1823179,136736,726.200000,33.203400
nomad-R2-10-reg-0.001,9940,1823179,136736,613.285000,84.865600
lemp-paper-Netflix-noav-100,15616,480189,17770,56.885100,85.532200
nomad-KDD-10-reg-1,77221,100990,626961,1790.980000,518.945000
lemp-paper-KDD-50,154009,100990,626961,3959.360000,10160.300000
nomad-KDD-25-reg-0.001,254726,100990,626961,2023.160000,6787.340000
