model,num_latent_factors,num_threads,K,gemm_time,pr_queue_time,comp_time
interpolation-KDD-100-reg-1-0.1-items,100,1,1,25000,156.981,40.9939,197.974
interpolation-KDD-100-reg-1-0.1-users,100,1,1,25000,202.494,57.5294,260.023
interpolation-KDD-100-reg-1-0.2-items,100,1,1,25000,313.413,82.3232,395.736
interpolation-KDD-100-reg-1-0.2-users,100,1,1,25000,373.012,98.2976,471.31
interpolation-KDD-100-reg-1-0.3-items,100,1,1,25000,487.153,130.218,617.371
interpolation-KDD-100-reg-1-0.3-users,100,1,1,25000,543.136,138.802,681.938
interpolation-KDD-100-reg-1-0.4-items,100,1,1,25000,677.901,184.324,862.226
interpolation-KDD-100-reg-1-0.4-users,100,1,1,25000,740.333,206.516,946.849
interpolation-KDD-100-reg-1-0.5-items,100,1,1,25000,852.229,238.19,1090.42
interpolation-KDD-100-reg-1-0.5-users,100,1,1,25000,872.331,212.662,1084.99
interpolation-KDD-100-reg-1-0.6-items,100,1,1,25000,1026.54,287.096,1313.64
interpolation-KDD-100-reg-1-0.6-users,100,1,1,25000,1095.84,292.414,1388.26
interpolation-KDD-100-reg-1-0.7-items,100,1,1,25000,1120.08,282.746,1402.82
interpolation-KDD-100-reg-1-0.7-users,100,1,1,25000,1274.14,345.303,1619.45
interpolation-KDD-100-reg-1-0.8-items,100,1,1,25000,1286.35,326.894,1613.24
interpolation-KDD-100-reg-1-0.8-users,100,1,1,25000,1363.32,333.819,1697.14
interpolation-KDD-100-reg-1-0.9-items,100,1,1,25000,1446.2,360.195,1806.39
interpolation-KDD-100-reg-1-0.9-users,100,1,1,25000,1524.34,374.573,1898.92
interpolation-KDD-100-reg-1-1-items,100,1,1,25000,1642.63,392.76,2035.39
interpolation-KDD-100-reg-1-1-users,100,1,1,25000,1642.63,392.76,2035.39
