model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
interpolation-KDD-100-reg-1-0.1-items,1,100,1,5,256,1024,10,3,38.4901,9.58736,0.668335,359.059,369.315
interpolation-KDD-100-reg-1-0.1-items,1,100,1,5,256,512,10,3,38.9206,4.90047,0.461307,362.167,367.529
interpolation-KDD-100-reg-1-0.1-users,1,100,1,5,256,256,10,3,26.4776,0.35815,1.3942,715.968,717.72
interpolation-KDD-100-reg-1-0.1-users,1,100,1,5,256,512,10,3,26.0962,0.644125,2.33854,729.772,732.755
interpolation-KDD-100-reg-1-0.2-items,1,100,1,5,256,1024,10,3,39.5484,9.31638,1.07527,977.347,987.738
interpolation-KDD-100-reg-1-0.2-items,1,100,1,5,256,512,10,3,39.5825,4.92281,0.674995,1019.14,1024.74
interpolation-KDD-100-reg-1-0.2-users,1,100,1,5,256,256,10,3,29.9491,0.674819,1.3758,1329.76,1331.81
interpolation-KDD-100-reg-1-0.2-users,1,100,1,5,256,512,10,3,29.283,1.15099,2.30436,1339.59,1343.05
interpolation-KDD-100-reg-1-0.3-items,1,100,1,5,256,1024,10,3,42.2798,9.32574,1.52077,1676.58,1687.43
interpolation-KDD-100-reg-1-0.3-items,1,100,1,5,256,512,10,3,41.7337,4.96126,0.896795,1732.88,1738.74
interpolation-KDD-100-reg-1-0.3-users,1,100,1,5,256,256,10,3,32.7532,0.94067,1.35799,1956.03,1958.33
interpolation-KDD-100-reg-1-0.3-users,1,100,1,5,256,512,10,3,32.6087,1.62256,2.35032,1938.06,1942.03
interpolation-KDD-100-reg-1-0.4-items,1,100,1,5,256,1024,10,3,45.1831,9.63588,2.02242,2410.74,2422.4
interpolation-KDD-100-reg-1-0.4-items,1,100,1,5,256,512,10,3,45.62,5.05085,1.16024,2479.38,2485.59
interpolation-KDD-100-reg-1-0.4-users,1,100,1,5,256,256,10,3,38.0485,1.18793,1.3792,2606.68,2609.25
interpolation-KDD-100-reg-1-0.4-users,1,100,1,5,256,512,10,3,36.152,2.08551,2.45561,2506.93,2511.47
interpolation-KDD-100-reg-1-0.5-items,1,100,1,5,256,1024,10,3,46.1681,9.29458,2.35343,3031.25,3042.89
interpolation-KDD-100-reg-1-0.5-items,1,100,1,5,256,512,10,3,46.1274,4.94009,1.33651,3126.19,3132.47
interpolation-KDD-100-reg-1-0.5-users,1,100,1,5,256,256,10,3,39.704,1.44473,1.33335,3176.89,3179.67
interpolation-KDD-100-reg-1-0.5-users,1,100,1,5,256,512,10,3,39.8344,2.56547,2.36228,3107.22,3112.14
interpolation-KDD-100-reg-1-0.6-items,1,100,1,5,256,1024,10,3,48.5069,9.34246,2.79955,3634.06,3646.2
interpolation-KDD-100-reg-1-0.6-items,1,100,1,5,256,512,10,3,48.2799,4.93485,1.55657,3716.56,3723.05
interpolation-KDD-100-reg-1-0.6-users,1,100,1,5,256,1024,10,3,43.3396,5.66014,4.48583,3661.6,3671.74
interpolation-KDD-100-reg-1-0.6-users,1,100,1,5,256,512,10,3,43.3127,3.03942,2.40836,3726.93,3732.38
interpolation-KDD-100-reg-1-0.7-items,1,100,1,5,256,1024,10,3,52.3249,9.59742,3.28699,4261.06,4273.94
interpolation-KDD-100-reg-1-0.7-items,1,100,1,5,256,512,10,3,51.9655,5.01629,1.82808,4389.07,4395.92
interpolation-KDD-100-reg-1-0.7-users,1,100,1,5,256,1024,10,3,46.6303,6.55839,4.4652,4198.76,4209.78
interpolation-KDD-100-reg-1-0.7-users,1,100,1,5,256,512,10,3,48.3441,3.59057,2.47837,4325.69,4331.76
interpolation-KDD-100-reg-1-0.8-items,1,100,1,5,256,1024,10,3,52.7119,9.30561,3.60305,4790.07,4802.98
interpolation-KDD-100-reg-1-0.8-items,1,100,1,5,256,512,10,3,52.6657,4.91813,2.003,4921.53,4928.45
interpolation-KDD-100-reg-1-0.8-users,1,100,1,5,256,1024,10,3,50.2232,7.50869,4.48409,4779.63,4791.63
interpolation-KDD-100-reg-1-0.8-users,1,100,1,5,256,512,10,3,50.2373,3.97704,2.43587,4857.27,4863.68
interpolation-KDD-100-reg-1-0.9-items,1,100,1,5,256,1024,10,3,55.0718,9.324,4.05552,5371.54,5384.92
interpolation-KDD-100-reg-1-0.9-items,1,100,1,5,256,512,10,3,56.9814,5.06347,2.28515,5569.15,5576.5
interpolation-KDD-100-reg-1-0.9-users,1,100,1,5,256,1024,10,3,54.3129,8.50056,4.53279,5408.81,5421.84
interpolation-KDD-100-reg-1-0.9-users,1,100,1,5,256,512,10,3,53.8388,4.33487,2.47779,5453.33,5460.15
interpolation-KDD-100-reg-1-1.0-items,1,100,1,5,256,1024,10,3,57.0622,9.22561,4.83163,5870.72,5884.78
interpolation-KDD-100-reg-1-1.0-items,1,100,1,5,256,512,10,3,57.0627,4.81865,2.51595,6014.36,6021.69
interpolation-KDD-100-reg-1-1.0-users,1,100,1,5,256,1024,10,3,57.0622,9.22561,4.83163,5870.72,5884.78
interpolation-KDD-100-reg-1-1.0-users,1,100,1,5,256,512,10,3,57.0627,4.81865,2.51595,6014.36,6021.69
